pmProductID,productBenefitConditions.allOfferBenefits.benefitInfo
PA00000065,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}]"
PA00000066,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000053', 'productName': '넷플릭스 구독 제공'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000058', 'productName': '단말보험할인 ①'}]"
PA00000067,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000053', 'productName': '넷플릭스 구독 제공'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}]"
PA00000068,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000053', 'productName': '넷플릭스 구독 제공'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000058', 'productName': '단말보험할인 ①'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}]"
PA00000069,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000053', 'productName': '넷플릭스 구독 제공'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}]"
PA00000070,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000071,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000053', 'productName': '넷플릭스 구독 제공'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000059', 'productName': '단말보험할인 ②'}, {'productId': 'BA00002132', 'productName': '갤럭시 AI 클럽 할인'}]"
PA00000072,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000053', 'productName': '넷플릭스 구독 제공'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000058', 'productName': '단말보험할인 ①'}]"
PA00000073,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000053', 'productName': '넷플릭스 구독 제공'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}]"
PA00000074,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000053', 'productName': '넷플릭스 구독 제공'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000058', 'productName': '단말보험할인 ①'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}]"
PA00000075,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000053', 'productName': '넷플릭스 구독 제공'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}]"
PA00000076,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000059', 'productName': '단말보험할인 ②'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}, {'productId': 'BA00001858', 'productName': 'T우주패스+플러스 상품 제공'}, {'productId': 'BA00002132', 'productName': '갤럭시 AI 클럽 할인'}]"
PA00000077,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000059', 'productName': '단말보험할인 ②'}, {'productId': 'BA00001858', 'productName': 'T우주패스+플러스 상품 제공'}, {'productId': 'BA00002132', 'productName': '갤럭시 AI 클럽 할인'}]"
PA00000078,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000053', 'productName': '넷플릭스 구독 제공'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000059', 'productName': '단말보험할인 ②'}, {'productId': 'BA00002132', 'productName': '갤럭시 AI 클럽 할인'}]"
PA00000079,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000053', 'productName': '넷플릭스 구독 제공'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000059', 'productName': '단말보험할인 ②'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}, {'productId': 'BA00002132', 'productName': '갤럭시 AI 클럽 할인'}]"
PA00000080,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000058', 'productName': '단말보험할인 ①'}]"
PA00000081,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}]"
PA00000082,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000083,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000059', 'productName': '단말보험할인 ②'}, {'productId': 'BA00001858', 'productName': 'T우주패스+플러스 상품 제공'}, {'productId': 'BA00002132', 'productName': '갤럭시 AI 클럽 할인'}]"
PA00000084,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000085,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000086,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}]"
PA00000087,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000088,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000089,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}]"
PA00000090,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000058', 'productName': '단말보험할인 ①'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}]"
PA00000091,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}]"
PA00000092,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}]"
PA00000093,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000094,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000095,
PA00000096,
PA00000097,
PA00000098,
PA00000099,
PA00000100,
PA00000101,
PA00000102,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000103,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000104,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000105,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000106,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000058', 'productName': '단말보험할인 ①'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}]"
PA00000107,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}]"
PA00000108,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}]"
PA00000109,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}]"
PA00000228,
PA00000231,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000053', 'productName': '넷플릭스 구독 제공'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000058', 'productName': '단말보험할인 ①'}, {'productId': 'BA00002132', 'productName': '갤럭시 AI 클럽 할인'}]"
PA00000693,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000057', 'productName': '스마트기기 할인팩'}, {'productId': 'BA00002132', 'productName': '갤럭시 AI 클럽 할인'}]"
PA00002803,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00002131', 'productName': 'T우주패스 제공(디즈니플러스 옵션 선택 필요)'}]"
PA00002804,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000098', 'productName': '우주패스(유튜브프리미엄)할인'}, {'productId': 'BA00002132', 'productName': '갤럭시 AI 클럽 할인'}]"
PA00002805,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}, {'productId': 'BA00002131', 'productName': 'T우주패스 제공(디즈니플러스 옵션 선택 필요)'}]"
PA00002806,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00002131', 'productName': 'T우주패스 제공(디즈니플러스 옵션 선택 필요)'}, {'productId': 'BA00002132', 'productName': '갤럭시 AI 클럽 할인'}]"
PA00002807,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}, {'productId': 'BA00002131', 'productName': 'T우주패스 제공(디즈니플러스 옵션 선택 필요)'}, {'productId': 'BA00002132', 'productName': '갤럭시 AI 클럽 할인'}]"
PA00002808,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000098', 'productName': '우주패스(유튜브프리미엄)할인'}, {'productId': 'BA00002132', 'productName': '갤럭시 AI 클럽 할인'}]"
PA00002809,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00002131', 'productName': 'T우주패스 제공(디즈니플러스 옵션 선택 필요)'}, {'productId': 'BA00002132', 'productName': '갤럭시 AI 클럽 할인'}]"
PA00002810,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000057', 'productName': '스마트기기 할인팩'}, {'productId': 'BA00002132', 'productName': '갤럭시 AI 클럽 할인'}]"
PA00002811,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000057', 'productName': '스마트기기 할인팩'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}, {'productId': 'BA00002132', 'productName': '갤럭시 AI 클럽 할인'}]"
PA00002812,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}, {'productId': 'BA00000098', 'productName': '우주패스(유튜브프리미엄)할인'}, {'productId': 'BA00002132', 'productName': '갤럭시 AI 클럽 할인'}]"
PA00002813,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000057', 'productName': '스마트기기 할인팩'}, {'productId': 'BA00002132', 'productName': '갤럭시 AI 클럽 할인'}]"
PA00002814,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00002131', 'productName': 'T우주패스 제공(디즈니플러스 옵션 선택 필요)'}]"
PA00002815,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}, {'productId': 'BA00002131', 'productName': 'T우주패스 제공(디즈니플러스 옵션 선택 필요)'}]"
